2022-11-28 12:59:11, Camera 1, Tomato, 1702, 765, 65.77225468204583
2022-11-28 12:59:12, Camera 1, Tomato, 1886, 772, 82.23483398157467
2022-11-28 12:59:12, Camera 1, Tomato, 1556, 818, 75.16006083808709
2022-11-28 12:59:13, Camera 1, Tomato, 1843, 765, 79.2157021324374
2022-11-28 12:59:13, Camera 1, Tomato, 1692, 779, 76.90810693565317
2022-11-28 12:59:13, Camera 1, Tomato, 1739, 777, 70.01689347810003
2022-11-28 12:59:20, Camera 1, Tomato, 1822, 763, 64.4400348281762
2022-11-28 12:59:20, Camera 1, Tomato, 1876, 761, 79.2157021324374
2022-11-28 12:59:21, Camera 1, Tomato, 1585, 871, 104.17610270075167
2022-11-28 12:59:21, Camera 1, Tomato, 1670, 768, 84.28940686250037
2022-11-28 12:59:22, Camera 1, Tomato, 1739, 776, 74.74488129694222
2022-11-28 12:59:23, Camera 1, Tomato, 1653, 757, 81.46923439005187
2022-11-28 12:59:23, Camera 1, Tomato, 1892, 911, 94.522454146402
2022-11-28 12:59:24, Camera 1, Tomato, 1881, 841, 95.76263288659845
2022-11-28 12:59:29, Camera 1, Tomato, 1447, 759, 87.39743779750019
2022-11-28 12:59:30, Camera 1, Tomato, 1540, 757, 87.13759477388825
2022-11-28 12:59:37, Camera 1, Tomato, 1823, 761, 80.53767779197439
2022-11-28 12:59:38, Camera 1, Tomato, 1731, 760, 81.46923439005187
2022-11-28 12:59:39, Camera 1, Tomato, 1833, 765, 77.7352262721076
2022-11-28 12:59:39, Camera 1, Tomato, 1456, 770, 79.2157021324374
2022-11-28 12:59:40, Camera 1, Tomato, 1660, 772, 73.61045966596522
2022-11-28 12:59:41, Camera 1, Tomato, 1726, 758, 84.28940686250037
2022-11-28 12:59:41, Camera 1, Tomato, 1570, 772, 77.47119229084849
2022-11-28 12:59:41, Camera 1, Tomato, 1830, 776, 71.56505117707799
